UID,FROMUID,TOUID,NETWID,D,Dout,Q,K,PressureLevel,Vmax,u,Zeta,Sound,Length,ff,Type
p30202,m955,m1692,3,0.102,0,0,1157.462,0,2,1,0,1000,75,0.068,existing
p30205,m957,m1692,3,0.102,0,0,869.184,0,2,1,0,1000,133,0.068,existing
p25579,m390,m665,7,0.184,0,0,5589.848,0,2,1,0,1000,74,0.056,existing
p25576,m388,m665,7,0.184,0,0,5068.677,0,2,1,0,1000,90,0.056,existing
p5182,m2620,m4691,2,0.102,0,0,1670.653,0,2,1,0,1000,36,0.068,existing
p5178,m476,m5180,2,0.051,0,0,151.517,0,2,1,0,1000,112,0.086,existing
p5175,m1112,m2058,4,0.131,0,0,1781.755,0,2,1,0,1000,118,0.063,existing
p5172,m578,m1297,2,0.131,0,0,1888.836,0,2,1,0,1000,105,0.063,existing
p5169,m2388,m4691,2,0.102,0,0,3169.841,0,2,1,0,1000,10,0.068,existing
p4909,m1407,m1548,2,0.131,0,0,4126.460,0,2,1,0,1000,22,0.063,existing
p4906,m917,m3232,2,0.164,0,0,3208.730,0,2,1,0,1000,120,0.059,existing
p4903,m1636,m190,4,0.131,0,0,1697.530,0,2,1,0,1000,130,0.063,existing
p4899,m4205,m4901,1,0.131,0,0,1152.562,0,2,1,0,1000,282,0.063,existing
p4896,m803,m3801,2,0.164,0,0,10146.896,0,2,1,0,1000,12,0.059,existing
p4639,m2197,m2657,7,0.164,0,0,2823.306,0,2,1,0,1000,155,0.059,existing
p4635,m4636,m1891,2,0.074,0,0,403.785,0,2,1,0,1000,107,0.076,existing
p4627,m4628,m1268,13,0.102,0,0,659.525,0,2,1,0,1000,231,0.068,existing
p4624,m3216,m2137,2,0.131,0,0,1697.530,0,2,1,0,1000,130,0.063,existing
p4367,m742,m3178,2,0.074,0,0,534.783,0,2,1,0,1000,61,0.076,existing
p4364,m2268,m1968,2,0.051,0,0,400.876,0,2,1,0,1000,16,0.086,existing
p4361,m4001,m812,7,0.164,0,0,3366.748,0,2,1,0,1000,109,0.059,existing
