UID,NAME,NETWID,H,Pnom,Qdemand,gix_x,gix_y
m5180,210,2,416.400,0,148,679982.400,225887.200
m4901,1704,1,440.000,0,0,682211.100,227440.400
m4636,483,2,449.400,0,160,681976.100,224822.400
m4628,1046,13,487.500,0,0,664277.400,225018.700
m4358,1330,4,416.200,0,0,678536.900,227103.400
m4354,467,2,435.300,0,1034,681939.400,227192.400
m4085,1068,13,494.500,0,0,664945.900,224690.700
m4082,144,7,417.600,0,348,677390.900,226305.400
m3821,361,2,428.500,0,27,681738.100,224620.700
m3819,360,2,426.700,0,168,681717.900,224634.200
m3813,713,2,457.600,0,77,683207.600,226280.900
m3809,495,2,426.700,0,49,682101.100,225444.700
m3543,1237,3,429.800,0,1319,675427.600,221570.700
m3279,1684,1,417.700,0,0,679334.600,226372.200
m3275,1106,8,441.700,0,162,671989.100,227802.400
m3269,1304,10,460.400,0,0,677203.600,232918.700
m3265,163,7,413.600,0,0,677546.900,225949.700
m3007,709,2,451.200,0,0,683143.900,228108.400
m3000,51,7,444.100,0,165,676115.100,226006.700
m2998,50,7,445.000,0,79,676092.900,226007.400
m2995,1249,3,438.200,0,0,675834.600,222253.200
m2734,481,2,449.500,0,55,682046.100,224868.900
m2730,552,2,439.600,0,180,682159.600,228483.700
m2460,176,7,440.500,0,48,677703.900,226590.400
m2457,670,2,445.200,0,309,682714.100,227405.700
m2188,1110,8,430.600,0,0,672146.100,227371.700
m2186,1109,8,429.100,0,350,672131.900,227312.900
m2182,424,2,436.800,0,0,681837.600,228282.200
m2178,229,2,415.700,0,0,680828.900,225348.900
m1917,427,2,427.800,0,803,681849.400,226516.200
m1914,1706,1,442.200,0,0,682319.400,227784.700
m1912,1705,1,442.300,0,0,682332.900,227808.200
m1908,273,2,416.800,0,1056,681464.600,225087.700
m1905,1418,6,416.800,0,90,680967.900,222339.400
m1645,617,2,442.000,0,51,682357.400,228181.700
m1643,607,2,441.300,0,72,682325.400,228075.400
m1639,497,2,447.800,0,122,682026.600,224582.700
m1636,1385,4,421.500,0,0,679598.400,227418.200
m1634,1375,4,422.900,0,616,679558.900,227464.400
m1373,421,2,427.100,0,256,681944.100,226317.400
m1371,380,2,427.100,0,701,681832.600,226335.700
m1367,1397,4,418.700,0,97,679705.400,226147.900
m1364,1285,3,444.600,0,0,676247.600,221555.700
m1362,1250,3,432.200,0,0,675797.900,221555.900
m1100,437,2,504.200,0,71,681866.900,223372.400
m1097,1101,8,448.300,0,55,671879.600,227636.700
m1095,1100,8,451.800,0,527,671876.100,227709.700
m1092,341,2,421.800,0,158,681645.100,224501.900
m1090,336,2,420.900,0,0,681630.400,224501.200
m830,679,2,434.600,0,479,682726.100,226474.400
m828,671,2,434.000,0,0,682662.100,226405.900
m825,63,7,432.500,0,0,676352.400,225833.900
m818,1086,8,477.700,0,45,671737.900,227797.700
m559,1638,1,449.900,0,0,675412.100,224044.200
m556,1128,8,412.400,0,0,672664.100,227984.900
m554,1127,8,411.500,0,0,672639.400,227771.200
m551,62,7,432.800,0,110,676359.900,225860.700
m549,52,7,433.100,0,159,676371.400,225901.900
m546,451,2,436.300,0,25,681740.600,227426.900
m544,450,2,440.000,0,678,681907.600,227585.400
m287,1444,6,423.200,0,331,681532.100,224151.200
m282,1451,6,430.600,0,9562,681631.100,224103.700
m279,350,2,434.300,0,0,681663.900,224091.200
m277,346,2,437.200,0,84,681682.900,224066.200
m274,1155,9,413.200,0,0,673701.400,235040.400
m272,1154,9,412.600,0,75,673710.100,235003.900
m5198,504,2,483.500,0,89,682020.400,223900.700
m5190,110,7,428.100,0,0,677049.400,227260.400
m5187,507,2,425.800,0,175,682075.900,225509.700
m4914,534,2,440.000,0,344,682035.900,227680.700
m4655,30,5,464.300,0,0,674860.400,225815.900
m4652,1373,4,434.600,0,44,679362.900,227978.700
m4647,225,2,415.600,0,209,680821.600,225339.200
m4644,1263,3,433.600,0,0,675915.900,222080.200
m4110,1269,3,440.600,0,0,675956.600,222275.200
m4103,1271,3,447.600,0,231,675976.900,223705.200
m4096,648,2,441.100,0,82,682396.400,227350.900
m3828,1339,4,431.700,0,166,678796.400,228151.200
m3825,1023,13,477.500,0,56,663650.100,223662.700
m3565,556,2,427.400,0,46,682215.100,225910.700
m3555,550,2,440.100,0,927,682222.400,228064.700
m3553,549,2,439.000,0,0,682145.400,228139.400
m3295,363,2,425.500,0,96,681735.400,224974.200
m3291,684,2,439.400,0,52,682809.100,226319.700
m3285,622,2,442.700,0,14,682363.600,227926.200
m3281,1687,1,415.600,0,0,680533.600,225951.900
m3014,723,2,452.900,0,309,683300.600,228338.200
m2747,1369,4,417.900,0,136,679260.600,226170.400
m2745,1368,4,418.000,0,0,679295.900,226146.400
m2739,539,2,426.200,0,46,682109.600,225941.900
m2478,264,2,420.000,0,0,681322.100,225683.900
m2474,591,2,427.600,0,0,682310.400,226071.400
m2472,573,2,426.900,0,18,682241.100,226069.200
m2465,281,2,423.200,0,304,681496.600,226011.400
m2207,711,2,472.100,0,129,683159.100,227591.900
m2205,700,2,454.600,0,250,683125.100,227681.400
m2202,1327,4,416.800,0,655,678440.100,226752.900
m2200,1326,4,415.800,0,996,678487.400,226771.900
m2197,170,7,423.100,0,118,677640.900,226237.900
m2195,169,7,421.700,0,132,677599.400,226137.400
m2192,624,2,464.900,0,134,682396.600,225106.700
m1935,239,2,417.900,0,0,680963.900,225554.900
m1931,523,2,425.200,0,169,682075.100,225636.900
m1929,512,2,425.200,0,59,682064.400,225591.900
m1926,335,2,423.700,0,605,681623.400,225258.400
m1924,280,2,420.800,0,318,681573.600,225167.200
m1662,1174,3,429.200,0,26,674934.100,221451.200
m1659,266,2,422.200,0,0,681402.900,225903.200
m1657,265,2,421.900,0,22,681344.600,225902.200
m1654,48,5,462.300,0,0,675244.900,225229.200
m1652,37,5,459.900,0,0,675206.400,225240.900
m1649,434,2,424.700,0,0,681864.900,225190.700
m1391,101,7,420.100,0,572,677000.100,225683.700
m1387,320,2,430.800,0,0,681694.600,226957.400
m1385,292,2,429.700,0,160,681590.600,226969.900
m1381,16,5,447.800,0,0,674765.400,225407.200
m1378,216,2,415.900,0,0,680586.900,225626.900
m1376,215,2,414.900,0,0,680559.100,225561.400
m1119,1371,4,427.000,0,479,679319.100,227755.900
m1117,1360,4,428.400,0,419,679283.600,227862.200
m1114,1399,4,419.400,0,338,679723.900,226258.200
m1112,1379,4,418.500,0,255,679642.400,226181.400
m1108,151,7,414.300,0,139,677431.600,226116.900
m847,1214,3,429.800,0,1227,675189.900,221590.900
m845,1182,3,429.100,0,212,675058.100,221598.400
m839,161,7,425.900,0,0,677653.900,226474.700
m837,159,7,427.900,0,354,677473.600,226609.200
m834,211,2,415.400,0,262,680371.600,225666.900
m575,595,2,461.200,0,27,682261.600,225189.900
m573,564,2,459.100,0,122,682191.600,225197.900
m570,1663,1,424.300,0,0,677126.600,226473.200
m566,601,2,441.700,0,76,682299.900,227858.900
m564,599,2,441.500,0,93,682294.900,227952.400
m561,1639,1,448.500,0,0,676006.100,223056.900
m303,726,2,483.000,0,158,683306.400,227311.200
m301,724,2,483.600,0,0,683301.100,227361.400
m298,1165,9,434.500,0,335,674580.600,235405.200
m296,1164,9,436.100,0,42,674717.100,235180.900
m293,453,2,426.000,0,0,681911.900,226170.900
m291,412,2,426.400,0,985,681921.400,226215.400
m5205,314,2,429.200,0,476,681584.900,226910.200
m4933,531,2,503.800,0,328,682103.400,223785.900
m4659,90,7,429.800,0,1487,676811.900,226545.900
m4396,1229,3,429.200,0,519,675356.400,221844.900
m4384,1063,13,493.300,0,24,664662.100,224405.400
m4125,326,2,424.700,0,158,681629.900,226207.200
m4123,297,2,424.400,0,1367,681603.400,226173.900
m4113,1383,4,417.700,0,0,679481.600,226121.400
m3852,604,2,515.700,0,113,682301.900,224351.200
m3846,1194,3,430.000,0,0,675133.100,222438.900
m3841,362,2,424.600,0,107,681721.900,224907.200
m3583,1314,17,437.800,0,0,677830.100,230398.400
m3578,546,2,439.700,0,294,682136.400,228395.700
m3569,1431,6,425.800,0,325,681241.100,222912.700
m3307,1311,17,449.200,0,0,677790.600,229565.900
m3303,370,2,425.200,0,631,681747.100,226197.900
m3299,605,2,529.000,0,351,682405.100,224205.700
m3037,626,2,502.300,0,56,682592.100,224916.200
m3035,625,2,487.400,0,669,682398.400,224812.200
m2765,165,7,428.300,0,135,677649.900,226516.400
m2763,164,7,432.800,0,16,677558.400,226697.900
m2760,1253,3,440.200,0,0,675798.900,222950.700
m2758,1236,3,434.500,0,0,675679.900,222806.200
m2755,1340,4,426.900,0,0,678930.400,227827.400
m2753,1337,4,426.700,0,358,678864.100,227760.900
m2492,488,2,432.100,0,519,682034.600,226747.900
m2490,410,2,431.100,0,216,681985.400,226747.900
m2487,1646,1,484.600,0,0,675855.600,235867.400
m2483,1318,17,444.000,0,0,677991.100,229785.400
m2481,1317,17,441.100,0,158,678040.600,229785.700
m2223,462,2,429.300,0,495,681985.900,226516.900
m2219,1057,13,490.800,0,47,664475.900,224889.200
m2217,1055,13,482.800,0,52,664559.900,224686.900
m2211,272,2,419.400,0,0,681457.400,225423.700
m1950,233,2,417.300,0,0,680944.400,225487.400
m1947,226,2,415.400,0,241,680793.900,225381.200
m1943,158,7,416.400,0,274,677489.100,226063.900
m1938,637,2,428.800,0,0,682427.100,226110.400
m1679,1287,9,495.700,0,1750,676304.600,236344.400
m1675,1042,13,469.600,0,1143,664153.600,224582.700
m1673,1037,13,469.600,0,0,664127.400,224575.400
m1667,184,7,425.700,0,121,677871.100,225965.400
m1407,369,2,464.100,0,0,681869.900,223857.200
m1404,193,7,424.900,0,0,678200.100,226433.900
m1402,191,7,422.200,0,544,678003.100,226242.700
m1399,65,7,442.300,0,106,676376.400,225113.400
m1397,64,7,441.400,0,88,676370.900,225144.700
m1133,107,7,436.200,0,44,677050.100,227491.400
m1131,105,7,437.400,0,16,677021.400,227544.900
m1128,732,2,459.000,0,0,683399.600,227814.400
m1126,729,2,456.800,0,500,683315.100,227913.400
m1123,692,2,450.300,0,183,682900.600,227719.400
m861,1138,8,405.500,0,0,672762.600,226522.700
m859,1134,8,406.600,0,0,672719.400,226522.200
m856,1185,3,454.800,0,105,675031.400,220931.200
m852,667,2,445.800,0,533,682655.600,227519.900
m850,665,2,447.600,0,667,682722.900,227624.700
m590,1694,1,422.000,0,0,681759.600,225403.200
m588,1691,1,420.400,0,0,681607.900,225425.900
m585,1114,8,414.700,0,37,672509.100,227200.900
m583,1113,8,417.600,0,56,672257.400,227228.900
m580,553,2,440.000,0,0,682200.900,228398.900
m578,547,2,440.400,0,148,682209.400,228356.200
m316,33,5,448.700,0,90,674896.400,225034.200
m313,1612,12,468.000,0,0,661732.900,230350.200
m308,36,5,456.800,0,382,674932.100,225511.700
m306,34,5,447.700,0,0,674921.100,225263.400
m311,1611,12,467.500,0,0,661719.900,230375.700
m5218,404,2,457.300,0,110,681811.100,223828.400
m4956,618,2,442.100,0,503,682354.400,228226.400
m4948,716,2,451.000,0,73,683255.600,228451.400
m4684,1334,4,417.700,0,2412,678752.600,227176.900
m4677,503,2,424.400,0,232,682019.400,225258.200
m4673,668,2,432.700,0,531,682526.400,226364.200
m4407,1406,4,419.900,0,309,679811.600,226401.400
m4138,639,2,444.100,0,86,682447.600,227607.200
m3865,585,2,441.000,0,156,682253.600,227486.400
m3860,1170,9,483.100,0,0,675104.400,235997.900
m3857,75,7,427.100,0,117,676483.400,225825.900
m3594,1143,9,411.700,0,0,673052.900,237105.700
m3590,1640,1,448.700,0,0,675454.600,224056.200
m3323,433,2,424.600,0,3100,681853.600,225193.700
m3320,269,2,421.300,0,152,681406.900,225811.900
m3316,1065,13,496.100,0,52,664759.900,224932.400
m3314,1064,13,488.600,0,0,664631.400,224738.700
m3051,663,2,445.400,0,386,682623.100,228074.900
m3047,540,2,426.200,0,65,682125.900,225925.400
m3041,282,2,417.800,0,0,681528.400,225040.400
m2781,376,2,447.900,0,88,681753.100,228559.400
m2777,1325,4,414.600,0,1106,678766.100,226690.400
m2775,1324,4,415.900,0,0,678486.400,226760.200
m2771,285,2,419.000,0,0,681537.600,224349.700
m2510,179,7,438.900,0,32,677718.900,226536.700
m2508,178,7,439.800,0,0,677716.900,226550.700
m2505,217,2,416.600,0,0,680611.600,225880.400
m2503,214,2,416.100,0,399,680586.600,225857.400
m2500,1699,1,436.900,0,0,682115.600,227215.900
m2496,44,5,466.000,0,0,675138.100,225843.400
m2237,322,2,426.100,0,0,681598.100,224312.400
m2235,308,2,424.800,0,0,681579.600,224320.700
m2232,493,2,424.300,0,57,682006.900,225646.700
m2228,730,2,455.800,0,0,683353.400,228027.200
m2226,721,2,454.300,0,1265,683315.400,228184.900
m1965,1460,19,426.800,0,7685,682216.100,226091.900
m1963,1459,19,426.200,0,0,682116.600,225941.200
m1960,1067,13,483.800,0,46,664805.900,223971.200
m1958,1066,13,478.400,0,58,664767.400,224094.700
m1954,1234,3,449.200,0,584,675419.600,224007.400
m1694,1276,3,442.400,0,343,676078.600,223794.400
m1692,1275,3,442.900,0,0,676074.900,223781.200
m1689,1685,1,418.000,0,0,679481.900,226707.700
m1687,1676,1,417.400,0,0,679356.600,226716.900
m1684,338,2,440.100,0,240,681669.900,228455.700
m1682,289,2,439.000,0,196,681639.100,228415.900
m1422,1072,13,491.400,0,0,665190.900,224408.400
m1419,718,2,468.100,0,129,683256.600,226583.400
m1417,689,2,451.200,0,640,683161.600,226534.200
m1414,236,2,416.400,0,430,680929.400,225382.200
m1412,235,2,416.800,0,125,680936.900,225420.900
m1409,441,2,468.800,0,457,681939.100,224024.900
m1150,227,2,420.700,0,581,680812.900,226241.700
m1147,328,2,430.100,0,67,681609.900,224233.200
m1145,309,2,425.500,0,0,681575.100,224292.400
m1142,146,7,426.900,0,0,677398.900,226680.200
m1138,1033,13,470.200,0,0,663871.100,223977.400
m1136,1024,13,470.000,0,0,663853.100,224021.200
m878,1655,1,450.600,0,0,676892.400,219740.400
m875,657,2,445.500,0,29,682608.600,227938.900
m873,656,2,445.000,0,145,682554.600,227963.900
m870,306,2,418.400,0,983,681590.100,224989.200
m866,544,2,425.100,0,15,682135.100,225748.700
m864,526,2,424.600,0,97,682089.900,225757.900
m607,1619,12,505.000,0,0,665571.900,222613.900
m604,203,7,413.800,0,906,678629.400,226513.900
m602,200,7,417.700,0,268,678382.900,226366.200
