UID,FROMUID,TOUID,NETWID,Pmax,Pmin,Qmax,Qmin,Pressure,Qregulated,QmaxForPregulation
v5359,m914,m1987,4,0,0,0,0,70.000,0,0
v5358,m1914,m2091,2,0,0,0,0,5.100,0,0
v5357,m4901,m5058,2,0,0,0,0,5.000,0,0
v5356,m1802,m3352,11,0,0,0,0,40.000,0,0
v5355,m3601,m1364,3,0,0,0,0,90.000,0,0
v5354,m2365,m1713,18,0,0,0,0,30.000,0,0
v5353,m311,m1191,15,0,0,0,0,60.000,0,0
v5352,m3130,m1041,14,0,0,0,0,50.000,0,0
v5351,m4887,m2240,13,0,0,0,0,60.000,0,0
v5350,m5269,m3401,2,0,0,0,0,5.000,0,0
v5349,m5269,m5272,20,0,0,0,0,80.000,0,0
v5374,m3649,m554,8,0,0,0,0,50.000,0,0
v5373,m2715,m1065,7,0,0,0,0,5.200,0,0
v5372,m1731,m2016,4,0,0,0,0,70.000,0,0
v5371,m570,m1622,7,0,0,0,0,5.300,0,0
v5370,m627,m2483,17,0,0,0,0,70.000,0,0
v5369,m2077,m3269,10,0,0,0,0,60.000,0,0
v5368,m4556,m4860,9,0,0,0,0,60.000,0,0
v5367,m2098,m2739,2,0,0,0,0,5.000,0,0
v5366,m2098,m1963,19,0,0,0,0,80.000,0,0
v5365,m5138,m3323,2,0,0,0,0,5.000,0,0
v5364,m5138,m4512,16,0,0,0,0,70.000,0,0
v5363,m2816,m2237,2,0,0,0,0,5.000,0,0
v5362,m2816,m25471,6,0,0,0,0,70.000,0,0
v5361,m4025,m1654,5,0,0,0,0,5.000,0,0
v5360,m3590,m1777,3,0,0,0,0,90.000,0,0
